utterance_id,Name,Age,Participant,Utterance,TokenisedUtt,TokenisedUttLower,TokenisedUttNoPunct,UttLen,UtterancesCyrillic,TokenisedUttCyr,UtterancesCyrillicCleaned,UtterancesCyrillicCleanedNormalised,Manually_corrected,utt_cyr_norm_lowercase_nopunct
UTT_025841,SIM,1;09.17,SIM,"dypam [: dyrpam], dypam [: dyrpam] .","['dyrpam', ',', 'dyrpam', '.']","['dyrpam', ',', 'dyrpam', '.']","['dyrpam', 'dyrpam']",2,"Дъпам [: дърпам], дъпам [: дърпам] .","['дъпам', 'дърпам', 'дъпам', 'дърпам']","Дъпам , дъпам .",дърпам дърпам .,,дърпам дърпам
UTT_028307,SIM,1;11.14,SIM,bebcho plache kak .,"['bebcho', 'plache', 'kak', '.']","['bebcho', 'plache', 'kak', '.']","['bebcho', 'plache', 'kak']",3,Бебчо плаче как .,"['бебчо', 'плаче', 'как']",Бебчо плаче как .,Бебчо плаче как .,,бебчо плаче как
UTT_033346,SIM,2;06.14,SIM,tazi li ili onazi?,"['tazi', 'li', 'ili', 'onaz', '?']","['tazi', 'li', 'ili', 'onaz', '?']","['tazi', 'li', 'ili', 'onaz']",4,Тази ли или онази?,"['тази', 'ли', 'или', 'онази']",Тази ли или онази ?,Тази ли или онази ?,,тази ли или онази
UTT_029399,SIM,2;01.10,SIM,"ima dupka, mamo.","['ima', 'dupka', ',', 'mamo', '.']","['ima', 'dupka', ',', 'mamo', '.']","['ima', 'dupka', 'mamo']",3,"Има дупка, мамо.","['има', 'дупка', 'мамо']","Има дупка , мамо .","Има дупка , мамо .",,има дупка мамо
UTT_025470,SIM,1;09.16,SIM,"pusni shalkata [: slushalkata], pusni .","['pusni', 'slushalkata', ',', 'pusni', '.']","['pusni', 'slushalkata', ',', 'pusni', '.']","['pusni', 'slushalkata', 'pusni']",3,"Пусни шалката [: слушалката], пусни .","['пусни', 'шалката', 'слушалката', 'пусни']","Пусни шалката , пусни .",Пусни слушалката пусни .,,пусни слушалката пусни
UTT_041557,TEF,2;01.16,TEF,ko [: kakvo] tam ima ?,"['kakvo', 'tam', 'ima', '?']","['kakvo', 'tam', 'ima', '?']","['kakvo', 'tam', 'ima']",3,Ко [: какво] там има ?,"['ко', 'какво', 'там', 'има']",Ко там има ?,какво там има ?,,какво там има
UTT_030842,SIM,2;03.00,SIM,toj myrda.,"['toj', 'myrda', '.']","['toj', 'myrda', '.']","['toj', 'myrda']",2,Той мърда.,"['той', 'мърда']",Той мърда .,Той мърда .,,той мърда
UTT_031994,SIM,2;05.21,SIM,"mamo, az se amorix [: izmorix].","['mamo', ',', 'az', 'se', 'izmorix', '.']","['mamo', ',', 'az', 'se', 'izmorix', '.']","['mamo', 'az', 'se', 'izmorix']",4,"Мамо, аз се амориx [: измориx].","['мамо', 'аз', 'се', 'амориx', 'измориx']","Мамо , аз се амориx .","Мамо , аз се измориx",,мамо аз се измориx
UTT_030206,SIM,2;02.15,SIM,"mamo, molja te, molja te!","['mamo', ',', 'molja', 'te', ',', 'molja', 'te!']","['mamo', ',', 'molja', 'te', ',', 'molja', 'te!']","['mamo', 'molja', 'te', 'molja', 'te!']",5,"Мамо, моля те, моля те!","['мамо', 'моля', 'те', 'моля', 'те']","Мамо , моля те , моля те !","Мамо , моля те , моля те !",,мамо моля те моля те
UTT_022802,SIM,1;07.21,SIM,"mach, mach !","['mach', ',', 'mach', '!']","['mach', ',', 'mach', '!']","['mach', 'mach']",2,"Мач, мач !","['мач', 'мач']","Мач , мач !","Мач , мач !",,мач мач
UTT_030667,SIM,2;02.20,SIM,a lapa mama.,"['a', 'lapa', 'mama', '.']","['a', 'lapa', 'mama', '.']","['a', 'lapa', 'mama']",3,А лапа мама.,"['а', 'лапа', 'мама']",А лапа мама .,А лапа мама .,,а лапа мама
UTT_019763,SIM,1;04.19,SIM,"ljolio [: olio], ljolio [: olio] .","['olio', ',', 'olio', '.']","['olio', ',', 'olio', '.']","['olio', 'olio']",2,"Льолио [: олио], льолио [: олио] .","['льолио', 'олио', 'льолио', 'олио']","Льолио , льолио .",олио олио .,,олио олио
UTT_025763,SIM,1;09.17,SIM,"vidjax go, Milkata .","['vidjax', 'go', ',', 'Milkata', '.']","['vidjax', 'go', ',', 'milkata', '.']","['vidjax', 'go', 'milkata']",3,"Видяx го, милката .","['видяx', 'го', 'милката']","Видяx го , милката .","Видяx го , милката .",,видяx го милката
UTT_040443,TEF,2;00.09,TEF,tetito davam .,"['tetito', 'davam', '.']","['tetito', 'davam', '.']","['tetito', 'davam']",2,Тетито давам .,"['тетито', 'давам']",Тетито давам .,Тетито давам .,,тетито давам
UTT_028326,SIM,1;11.14,SIM,vzema tozi Kaljancho [: Kalojancho] .,"['vzema', 'tozi', 'Kalojancho', '.']","['vzema', 'tozi', 'kalojancho', '.']","['vzema', 'tozi', 'kalojancho']",3,Взема този калянчо [: калоянчо] .,"['взема', 'този', 'калянчо', 'калоянчо']",Взема този калянчо .,Взема този калоянчо .,,взема този калоянчо
UTT_036291,SIM,2;10.04,SIM,"tri, osem.","['tri', ',', 'osem', '.']","['tri', ',', 'osem', '.']","['tri', 'osem']",2,"Три, осем.","['три', 'осем']","Три , осем .","Три , осем .",,три осем
UTT_001064,ALE,1;05.08,ALE,"babo, chaj !","['babo', ',', 'chaj', '!']","['babo', ',', 'chaj', '!']","['babo', 'chaj']",2,"Бабо, чай !","['бабо', 'чай']","Бабо , чай !","Бабо , чай !",,бабо чай
UTT_034958,SIM,2;08.06,SIM,tuk e s malkoto slynce.,"['tuk', 'e', 's', 'malkoto', 'slynce', '.']","['tuk', 'e', 's', 'malkoto', 'slynce', '.']","['tuk', 'e', 's', 'malkoto', 'slynce']",5,Тук е с малкото слънце.,"['тук', 'е', 'с', 'малкото', 'слънце']",Тук е с малкото слънце .,Тук е с малкото слънце .,Тук е с малкото слънце .,тук е с малкото слънце
UTT_007756,ALE,2;04.09,ALE,"mamo, da narisuvam li edno petlence na Roli ?","['mamo', ',', 'da', 'narisuvam', 'li', 'edno', 'petlence', 'na', 'Roli', '?']","['mamo', ',', 'da', 'narisuvam', 'li', 'edno', 'petlence', 'na', 'roli', '?']","['mamo', 'da', 'narisuvam', 'li', 'edno', 'petlence', 'na', 'roli']",8,"Мамо, да нарисувам ли едно петленце на роли ?","['мамо', 'да', 'нарисувам', 'ли', 'едно', 'петленце', 'на', 'роли']","Мамо , да нарисувам ли едно петленце на роли ?","Мамо , да нарисувам ли едно петленце на роли ?",,мамо да нарисувам ли едно петленце на роли
UTT_023348,SIM,1;08.01,SIM,"chao, chao, chao .","['chao', ',', 'chao', ',', 'chao', '.']","['chao', ',', 'chao', ',', 'chao', '.']","['chao', 'chao', 'chao']",3,"Чао, чао, чао .","['чао', 'чао', 'чао']","Чао , чао , чао .","Чао , чао , чао .",,чао чао чао
UTT_025175,SIM,1;09.04,SIM,kolata vyrvi .,"['kolata', 'vyrvi', '.']","['kolata', 'vyrvi', '.']","['kolata', 'vyrvi']",2,Колата върви .,"['колата', 'върви']",Колата върви .,Колата върви .,Колата върви .,колата върви
UTT_009300,BOG,2;03.00,BOG,sobodno [: svobodno] e .,"['svobodno', 'e', '.']","['svobodno', 'e', '.']","['svobodno', 'e']",2,Сободно [: свободно] е .,"['сободно', 'свободно', 'е']",Сободно е .,свободно е .,,свободно е
UTT_034278,SIM,2;07.19,SIM,zashto veche ne stava?,"['zashto', 'veche', 'ne', 'stav', '?']","['zashto', 'veche', 'ne', 'stav', '?']","['zashto', 'veche', 'ne', 'stav']",4,Защо вече не става?,"['защо', 'вече', 'не', 'става']",Защо вече не става ?,Защо вече не става ?,Защо вече не става ?,защо вече не става
UTT_031633,SIM,2;04.19,SIM,za miene.,"['za', 'miene', '.']","['za', 'miene', '.']","['za', 'miene']",2,За миене.,"['за', 'миене']",За миене .,За миене .,,за миене
UTT_025618,SIM,1;09.16,SIM,"ne, be .","['ne', ',', 'be', '.']","['ne', ',', 'be', '.']","['ne', 'be']",2,"Не, бе .","['не', 'бе']","Не , бе .","Не , бе .",,не бе
UTT_040984,TEF,,TEF,tetito pisha [: se napisha] .,"['tetito', 'se', 'napisha', '.']","['tetito', 'se', 'napisha', '.']","['tetito', 'se', 'napisha']",3,Тетито пиша [: се напиша] .,"['тетито', 'пиша', 'се', 'напиша']",Тетито пиша .,се напиша .,,се напиша
UTT_002159,ALE,1;06.21,ALE,"mime, iua [: ela] !","['mime', ',', 'ela', '!']","['mime', ',', 'ela', '!']","['mime', 'ela']",2,"Миме, иуа [: ела] !","['миме', 'иуа', 'ела']","Миме , иуа !","Миме , ела !",,миме ела
UTT_030486,SIM,2;02.17,SIM,daj mi go.,"['daj', 'mi', 'go', '.']","['daj', 'mi', 'go', '.']","['daj', 'mi', 'go']",3,Дай ми го.,"['дай', 'ми', 'го']",Дай ми го .,Дай ми го .,,дай ми го
UTT_036828,SIM,2;11.22,SIM,ednoto e s cvetence.,"['ednoto', 'e', 's', 'cvetence', '.']","['ednoto', 'e', 's', 'cvetence', '.']","['ednoto', 'e', 's', 'cvetence']",4,Едното е с цветенце.,"['едното', 'е', 'с', 'цветенце']",Едното е с цветенце .,Едното е с цветенце .,,едното е с цветенце
UTT_019809,SIM,1;04.19,SIM,"mami, mami, mami, mami, mami .","['mami', ',', 'mami', ',', 'mami', ',', 'mami', ',', 'mami', '.']","['mami', ',', 'mami', ',', 'mami', ',', 'mami', ',', 'mami', '.']","['mami', 'mami', 'mami', 'mami', 'mami']",5,"Мами, мами, мами, мами, мами .","['мами', 'мами', 'мами', 'мами', 'мами']","Мами , мами , мами , мами , мами .","Мами , мами , мами , мами , мами .",,мами мами мами мами мами
UTT_027942,SIM,1;11.04,SIM,ne vdiga .,"['ne', 'vdiga', '.']","['ne', 'vdiga', '.']","['ne', 'vdiga']",2,Не вдига .,"['не', 'вдига']",Не вдига .,Не вдига .,,не вдига
UTT_043880,TEF,2;04.21,TEF,shtoto Tetito lja [: zalja/polja] .,"['shtoto', 'Tetito', 'zalja/polja', '.']","['shtoto', 'tetito', 'zalja/polja', '.']","['shtoto', 'tetito', 'zalja/polja']",3,Щото тетито ля [: заля/поля] .,"['щото', 'тетито', 'ля', 'заля/поля']",Щото тетито ля .,Щото тетито заля поля .,Щото тетито заля поля .,щото тетито заля поля
UTT_007810,ALE,2;04.09,ALE,"pishi, kak da ne pishi .","['pishi', ',', 'kak', 'da', 'ne', 'pishi', '.']","['pishi', ',', 'kak', 'da', 'ne', 'pishi', '.']","['pishi', 'kak', 'da', 'ne', 'pishi']",5,"Пиши, как да не пиши .","['пиши', 'как', 'да', 'не', 'пиши']","Пиши , как да не пиши .","Пиши , как да не пиши .",,пиши как да не пиши
UTT_002566,ALE,1;07.20,ALE,bebito [: bebeto] pej .,"['bebeto', 'pej', '.']","['bebeto', 'pej', '.']","['bebeto', 'pej']",2,Бебито [: бебето] пей .,"['бебито', 'бебето', 'пей']",Бебито пей .,бебето пей .,,бебето пей
UTT_026490,SIM,1;09.29,SIM,balona naduva .,"['balona', 'naduva', '.']","['balona', 'naduva', '.']","['balona', 'naduva']",2,Балона надува .,"['балона', 'надува']",Балона надува .,Балона надува .,,балона надува
UTT_033044,SIM,2;06.02,SIM,pod masata.,"['pod', 'masata', '.']","['pod', 'masata', '.']","['pod', 'masata']",2,Под масата.,"['под', 'масата']",Под масата .,Под масата .,,под масата
UTT_019933,SIM,1;04.25,SIM,"mach [: machkam], mach [: machkam], mach [: machkam] .","['machkam', ',', 'machkam', ',', 'machkam', '.']","['machkam', ',', 'machkam', ',', 'machkam', '.']","['machkam', 'machkam', 'machkam']",3,"Мач [: мачкам], мач [: мачкам], мач [: мачкам] .","['мач', 'мачкам', 'мач', 'мачкам', 'мач', 'мачкам']","Мач , мач , мач .",мачкам мачкам мачкам .,,мачкам мачкам мачкам
UTT_002243,ALE,1;06.21,ALE,obyuni sa [: obyrni se] !,"['obyuni', 'obyrni', 'se', '!']","['obyuni', 'obyrni', 'se', '!']","['obyuni', 'obyrni', 'se']",3,Обюни са [: обърни се] !,"['обюни', 'са', 'обърни', 'се']",Обюни са !,обърни се !,,обърни се
UTT_023967,SIM,1;08.13,SIM,"kakata, kakata, kakata .","['kakata', ',', 'kakata', ',', 'kakata', '.']","['kakata', ',', 'kakata', ',', 'kakata', '.']","['kakata', 'kakata', 'kakata']",3,"Каката, каката, каката .","['каката', 'каката', 'каката']","Каката , каката , каката .","Каката , каката , каката .",,каката каката каката
UTT_038552,TEF,1;11.04,TEF,daj mi ga !,"['daj', 'mi', 'ga', '!']","['daj', 'mi', 'ga', '!']","['daj', 'mi', 'ga']",3,Дай ми га !,"['дай', 'ми', 'га']",Дай ми га !,Дай ми га !,,дай ми га
UTT_028994,SIM,2;00.23,SIM,"chisto, da.","['chisto', ',', 'da', '.']","['chisto', ',', 'da', '.']","['chisto', 'da']",2,"Чисто, да.","['чисто', 'да']","Чисто , да .","Чисто , да .",,чисто да
UTT_033696,SIM,2;06.21,SIM,"stavam, che sa mi mnogo mrysni krakata.","['stavam', ',', 'che', 'sa', 'mi', 'mnogo', 'mrysni', 'krakata', '.']","['stavam', ',', 'che', 'sa', 'mi', 'mnogo', 'mrysni', 'krakata', '.']","['stavam', 'che', 'sa', 'mi', 'mnogo', 'mrysni', 'krakata']",7,"Ставам, че са ми много мръсни краката.","['ставам', 'че', 'са', 'ми', 'много', 'мръсни', 'краката']","Ставам , че са ми много мръсни краката .","Ставам , че са ми много мръсни краката .",,ставам че са ми много мръсни краката
UTT_009869,BOG,2;04.05,BOG,njama batko !,"['njama', 'batko', '!']","['njama', 'batko', '!']","['njama', 'batko']",2,Няма батко !,"['няма', 'батко']",Няма батко !,Няма батко !,,няма батко
UTT_028053,SIM,1;11.07,SIM,"gotovo, gotovo .","['gotovo', ',', 'gotovo', '.']","['gotovo', ',', 'gotovo', '.']","['gotovo', 'gotovo']",2,"Готово, готово .","['готово', 'готово']","Готово , готово .","Готово , готово .",,готово готово
UTT_033082,SIM,2;06.03,SIM,"tova e ot, ot chereshi.","['tova', 'e', 'ot', ',', 'ot', 'chereshi', '.']","['tova', 'e', 'ot', ',', 'ot', 'chereshi', '.']","['tova', 'e', 'ot', 'ot', 'chereshi']",5,"Това е от, от череши.","['това', 'е', 'от', 'от', 'череши']","Това е от , от череши .","Това е от , от череши .",,това е от от череши
UTT_039995,TEF,2;00.09,TEF,tui [: da otvorja] dida [: voda] !,"['da', 'otvorja', 'voda', '!']","['da', 'otvorja', 'voda', '!']","['da', 'otvorja', 'voda']",3,Туи [: да отворя] дида [: вода] !,"['туи', 'да', 'отворя', 'дида', 'вода']",Туи дида !,да отворя вода !,,да отворя вода
UTT_024830,SIM,1;09.02,SIM,"a, vynka [: vyn] .","['a', ',', 'vyn', '.']","['a', ',', 'vyn', '.']","['a', 'vyn']",2,"А, вънка [: вън] .","['а', 'вънка', 'вън']","А , вънка .","А , вън .",,а вън
UTT_032314,SIM,2;05.28,SIM,vozja se.,"['vozja', 'se', '.']","['vozja', 'se', '.']","['vozja', 'se']",2,Возя се.,"['возя', 'се']",Возя се .,Возя се .,,возя се
UTT_029491,SIM,2;01.12,SIM,"gydi, gydi, gydi, gydi, gydi, gydi.","['gydi', ',', 'gydi', ',', 'gydi', ',', 'gydi', ',', 'gydi', ',', 'gydi', '.']","['gydi', ',', 'gydi', ',', 'gydi', ',', 'gydi', ',', 'gydi', ',', 'gydi', '.']","['gydi', 'gydi', 'gydi', 'gydi', 'gydi', 'gydi']",6,"Гъди, гъди, гъди, гъди, гъди, гъди.","['гъди', 'гъди', 'гъди', 'гъди', 'гъди', 'гъди']","Гъди , гъди , гъди , гъди , гъди , гъди .","Гъди , гъди , гъди , гъди , гъди , гъди .",,гъди гъди гъди гъди гъди гъди
UTT_002786,ALE,1;07.20,ALE,kyde tutijata [: kutijata] .,"['kyde', 'kutijata', '.']","['kyde', 'kutijata', '.']","['kyde', 'kutijata']",2,Къде тутията [: кутията] .,"['къде', 'тутията', 'кутията']",Къде тутията .,Къде кутията .,,къде кутията
UTT_033599,SIM,2;06.19,SIM,na svatbata trjabva da sa krasivi prystencheta.,"['na', 'svatbata', 'trjabva', 'da', 'sa', 'krasivi', 'prystencheta', '.']","['na', 'svatbata', 'trjabva', 'da', 'sa', 'krasivi', 'prystencheta', '.']","['na', 'svatbata', 'trjabva', 'da', 'sa', 'krasivi', 'prystencheta']",7,На сватбата трябва да са красиви пръстенчета.,"['на', 'сватбата', 'трябва', 'да', 'са', 'красиви', 'пръстенчета']",На сватбата трябва да са красиви пръстенчета .,На сватбата трябва да са красиви пръстенчета .,,на сватбата трябва да са красиви пръстенчета
UTT_044427,TEF,2;05.25,TEF,tez [: s tezi] buki [: obuvki] ika [: iskam] bjaga [: da bjagam] !,"['s', 'tezi', 'obuvki', 'iskam', 'da', 'bjagam', '!']","['s', 'tezi', 'obuvki', 'iskam', 'da', 'bjagam', '!']","['s', 'tezi', 'obuvki', 'iskam', 'da', 'bjagam']",6,Тез [: с тези] буки [: обувки] ика [: искам] бяга [: да бягам] !,"['тез', 'с', 'тези', 'буки', 'обувки', 'ика', 'искам', 'бяга', 'да', 'бягам']",Тез буки ика бяга !,с тези обувки да бягам !, Тези обувки бягам !,с тези обувки да бягам
UTT_023292,SIM,1;08.01,SIM,bija muxa .,"['bija', 'muxa', '.']","['bija', 'muxa', '.']","['bija', 'muxa']",2,Бия муxа .,"['бия', 'муxа']",Бия муxа .,Бия муxа .,,бия муxа
UTT_029060,SIM,2;00.24,SIM,"Kaljancho [: Kalojancho], kazhi chetiri, Kaljancho [: Kalojancho].","['Kalojancho', ',', 'kazhi', 'chetiri', ',', 'Kalojancho', '.']","['kalojancho', ',', 'kazhi', 'chetiri', ',', 'kalojancho', '.']","['kalojancho', 'kazhi', 'chetiri', 'kalojancho']",4,"Калянчо [: калоянчо], кажи четири, калянчо [: калоянчо].","['калянчо', 'калоянчо', 'кажи', 'четири', 'калянчо', 'калоянчо']","Калянчо , кажи четири , калянчо .","калоянчо кажи четири , калоянчо",,калоянчо кажи четири калоянчо
UTT_032059,SIM,2;05.22,SIM,"mamo, ikam [: iskam] da gledam snimki.","['mamo', ',', 'iskam', 'da', 'gledam', 'snimki', '.']","['mamo', ',', 'iskam', 'da', 'gledam', 'snimki', '.']","['mamo', 'iskam', 'da', 'gledam', 'snimki']",5,"Мамо, икам [: искам] да гледам снимки.","['мамо', 'икам', 'искам', 'да', 'гледам', 'снимки']","Мамо , икам да гледам снимки .","Мамо , искам да гледам снимки .",,мамо искам да гледам снимки
UTT_021397,SIM,1;06.06,SIM,"eto, eto, eto .","['eto', ',', 'eto', ',', 'eto', '.']","['eto', ',', 'eto', ',', 'eto', '.']","['eto', 'eto', 'eto']",3,"Ето, ето, ето .","['ето', 'ето', 'ето']","Ето , ето , ето .","Ето , ето , ето .",,ето ето ето
UTT_035718,SIM,2;09.18,SIM,zashto sprJa muzikata?,"['zashto', 'sprJa', 'muzikat', '?']","['zashto', 'sprja', 'muzikat', '?']","['zashto', 'sprja', 'muzikat']",3,Защо спря музиката?,"['защо', 'спря', 'музиката']",Защо спря музиката ?,Защо спря музиката ?,,защо спря музиката
UTT_040481,TEF,2;00.09,TEF,"njama, njama .","['njama', ',', 'njama', '.']","['njama', ',', 'njama', '.']","['njama', 'njama']",2,"Няма, няма .","['няма', 'няма']","Няма , няма .","Няма , няма .",,няма няма
UTT_026125,SIM,1;09.21,SIM,ej tuka kolata sJada .,"['ej', 'tuka', 'kolata', 'sJada', '.']","['ej', 'tuka', 'kolata', 'sjada', '.']","['ej', 'tuka', 'kolata', 'sjada']",4,Ей тука колата сяда .,"['ей', 'тука', 'колата', 'сяда']",Ей тука колата сяда .,Ей тука колата сяда .,,ей тука колата сяда
UTT_026648,SIM,1;10.01,SIM,"am, am, ne .","['am', ',', 'am', ',', 'ne', '.']","['am', ',', 'am', ',', 'ne', '.']","['am', 'am', 'ne']",3,"Ам, ам, не .","['ам', 'ам', 'не']","Ам , ам , не .","Ам , ам , не .","Ам , ам , не .",ам ам не
UTT_022671,SIM,1;07.19,SIM,"molja te, molja te, molja te, molja te, molja te !","['molja', 'te', ',', 'molja', 'te', ',', 'molja', 'te', ',', 'molja', 'te', ',', 'molja', 'te', '!']","['molja', 'te', ',', 'molja', 'te', ',', 'molja', 'te', ',', 'molja', 'te', ',', 'molja', 'te', '!']","['molja', 'te', 'molja', 'te', 'molja', 'te', 'molja', 'te', 'molja', 'te']",10,"Моля те, моля те, моля те, моля те, моля те !","['моля', 'те', 'моля', 'те', 'моля', 'те', 'моля', 'те', 'моля', 'те']","Моля те , моля те , моля те , моля те , моля те !","Моля те , моля те , моля те , моля те , моля те !",,моля те моля те моля те моля те моля те
UTT_009648,BOG,2;03.06,BOG,kak se kavash [: kazva] kigita [: knigata] ?,"['kak', 'se', 'kazva', 'knigata', '?']","['kak', 'se', 'kazva', 'knigata', '?']","['kak', 'se', 'kazva', 'knigata']",4,Как се каваш [: казва] кигита [: книгата] ?,"['как', 'се', 'каваш', 'казва', 'кигита', 'книгата']",Как се каваш кигита ?,Как се казва книгата ?,,как се казва книгата
UTT_007663,ALE,2;04.09,ALE,"ne, az shi zema !","['ne', ',', 'az', 'shi', 'zema', '!']","['ne', ',', 'az', 'shi', 'zema', '!']","['ne', 'az', 'shi', 'zema']",4,"Не, аз ши зема !","['не', 'аз', 'ши', 'зема']","Не , аз ши зема !","Не , аз ши зема !",,не аз ши зема
UTT_036478,SIM,2;10.09,SIM,s tova li?,"['s', 'tova', 'l', '?']","['s', 'tova', 'l', '?']","['s', 'tova', 'l']",3,С това ли?,"['с', 'това', 'ли']",С това ли ?,С това ли ?,,с това ли
UTT_022250,SIM,1;07.08,SIM,Moni pada .,"['Moni', 'pada', '.']","['moni', 'pada', '.']","['moni', 'pada']",2,Мони пада .,"['мони', 'пада']",Мони пада .,Мони пада .,,мони пада
UTT_001199,ALE,1;05.08,ALE,a [: s] patetchi [: pastetche] .,"['s', 'pastetche', '.']","['s', 'pastetche', '.']","['s', 'pastetche']",2,А [: с] патетчи [: пастетче] .,"['а', 'с', 'патетчи', 'пастетче']",А патетчи .,с пастетче .,,с пастетче
UTT_035689,SIM,2;09.12,SIM,na lelja li?,"['na', 'lelja', 'l', '?']","['na', 'lelja', 'l', '?']","['na', 'lelja', 'l']",3,На леля ли?,"['на', 'леля', 'ли']",На леля ли ?,На леля ли ?,,на леля ли
UTT_025941,SIM,1;09.17,SIM,chicho Emo badim [: obadim] .,"['chicho', 'Emo', 'obadim', '.']","['chicho', 'emo', 'obadim', '.']","['chicho', 'emo', 'obadim']",3,Чичо емо бадим [: обадим] .,"['чичо', 'емо', 'бадим', 'обадим']",Чичо емо бадим .,Чичо емо обадим .,,чичо емо обадим
UTT_027762,SIM,1;11.04,SIM,"a munka [: majmunka], a munka [: majmunka] .","['a', 'majmunka', ',', 'a', 'majmunka', '.']","['a', 'majmunka', ',', 'a', 'majmunka', '.']","['a', 'majmunka', 'a', 'majmunka']",4,"А мунка [: маймунка], а мунка [: маймунка] .","['а', 'мунка', 'маймунка', 'а', 'мунка', 'маймунка']","А мунка , а мунка .",А маймунка а маймунка .,"А маймунка , а маймунка .",а маймунка а маймунка
UTT_040257,TEF,2;00.09,TEF,to pinka [: spinka] .,"['to', 'spinka', '.']","['to', 'spinka', '.']","['to', 'spinka']",2,То пинка [: спинка] .,"['то', 'пинка', 'спинка']",То пинка .,То спинка .,,то спинка
UTT_037148,SIM,3;01.00,SIM,no e izbjagal.,"['no', 'e', 'izbjagal', '.']","['no', 'e', 'izbjagal', '.']","['no', 'e', 'izbjagal']",3,Но е избягал.,"['но', 'е', 'избягал']",Но е избягал .,Но е избягал .,,но е избягал
UTT_044430,TEF,2;05.25,TEF,njama tez !,"['njama', 'tez', '!']","['njama', 'tez', '!']","['njama', 'tez']",2,Няма тез !,"['няма', 'тез']",Няма тез !,Няма тез !,,няма тез
UTT_032752,SIM,2;06.00,SIM,"vizh go, vizh go.","['vizh', 'go', ',', 'vizh', 'go', '.']","['vizh', 'go', ',', 'vizh', 'go', '.']","['vizh', 'go', 'vizh', 'go']",4,"Виж го, виж го.","['виж', 'го', 'виж', 'го']","Виж го , виж го .","Виж го , виж го .",,виж го виж го
UTT_035623,SIM,2;09.12,SIM,"vizh, ne taka s glavata nadolu, s krachetata, s krachetata.","['vizh', ',', 'ne', 'taka', 's', 'glavata', 'nadolu', ',', 's', 'krachetata', ',', 's', 'krachetata', '.']","['vizh', ',', 'ne', 'taka', 's', 'glavata', 'nadolu', ',', 's', 'krachetata', ',', 's', 'krachetata', '.']","['vizh', 'ne', 'taka', 's', 'glavata', 'nadolu', 's', 'krachetata', 's', 'krachetata']",10,"Виж, не така с главата надолу, с крачетата, с крачетата.","['виж', 'не', 'така', 'с', 'главата', 'надолу', 'с', 'крачетата', 'с', 'крачетата']","Виж , не така с главата надолу , с крачетата , с крачетата .","Виж , не така с главата надолу , с крачетата , с крачетата .",,виж не така с главата надолу с крачетата с крачетата
UTT_044202,TEF,2;05.25,TEF,tam ima losha .,"['tam', 'ima', 'losha', '.']","['tam', 'ima', 'losha', '.']","['tam', 'ima', 'losha']",3,Там има лоша .,"['там', 'има', 'лоша']",Там има лоша .,Там има лоша .,,там има лоша
UTT_032097,SIM,2;05.22,SIM,ikam [: iskam] da si gledam na telefona.,"['iskam', 'da', 'si', 'gledam', 'na', 'telefona', '.']","['iskam', 'da', 'si', 'gledam', 'na', 'telefona', '.']","['iskam', 'da', 'si', 'gledam', 'na', 'telefona']",6,Икам [: искам] да си гледам на телефона.,"['икам', 'искам', 'да', 'си', 'гледам', 'на', 'телефона']",Икам да си гледам на телефона .,искам да си гледам на телефона .,,искам да си гледам на телефона
UTT_039820,TEF,2;00.09,TEF,njama tuka !,"['njama', 'tuka', '!']","['njama', 'tuka', '!']","['njama', 'tuka']",2,Няма тука !,"['няма', 'тука']",Няма тука !,Няма тука !,,няма тука
UTT_000038,ALE,1;01.29,ALE,ne shte !,"['ne', 'shte', '!']","['ne', 'shte', '!']","['ne', 'shte']",2,Не ще !,"['не', 'ще']",Не ще !,Не ще !,,не ще
UTT_027974,SIM,1;11.07,SIM,"bebe, sladko bebe .","['bebe', ',', 'sladko', 'bebe', '.']","['bebe', ',', 'sladko', 'bebe', '.']","['bebe', 'sladko', 'bebe']",3,"Бебе, сладко бебе .","['бебе', 'сладко', 'бебе']","Бебе , сладко бебе .","Бебе , сладко бебе .",,бебе сладко бебе
UTT_009379,BOG,2;03.00,BOG,te go tysi [: tyrsi] .,"['te', 'go', 'tyrsi', '.']","['te', 'go', 'tyrsi', '.']","['te', 'go', 'tyrsi']",3,Те го тъси [: търси] .,"['те', 'го', 'тъси', 'търси']",Те го тъси .,Те го търси .,,те го търси
UTT_002386,ALE,1;07.20,ALE,na tati .,"['na', 'tati', '.']","['na', 'tati', '.']","['na', 'tati']",2,На тати .,"['на', 'тати']",На тати .,На тати .,,на тати
UTT_022377,SIM,1;07.11,SIM,"molja, molja, molja !","['molja', ',', 'molja', ',', 'molja', '!']","['molja', ',', 'molja', ',', 'molja', '!']","['molja', 'molja', 'molja']",3,"Моля, моля, моля !","['моля', 'моля', 'моля']","Моля , моля , моля !","Моля , моля , моля !",,моля моля моля
UTT_036158,SIM,2;10.03,SIM,"vremeto, ne xaresvam vremeto.","['vremeto', ',', 'ne', 'xaresvam', 'vremeto', '.']","['vremeto', ',', 'ne', 'xaresvam', 'vremeto', '.']","['vremeto', 'ne', 'xaresvam', 'vremeto']",4,"Времето, не xаресвам времето.","['времето', 'не', 'xаресвам', 'времето']","Времето , не xаресвам времето .","Времето , не xаресвам времето .",,времето не xаресвам времето
